날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.04.19,수,18:30,한화생명 이글스 파크,한화,7,두산,6,True,페넌트레이스
2023.04.19,수,18:30,수원 케이티위즈 파크,KT,5,SSG,2,True,페넌트레이스
2023.04.19,수,18:30,고척 스카이돔,키움,5,삼성,9,False,페넌트레이스
2023.04.20,목,18:30,사직야구장,롯데,5,KIA,3,True,페넌트레이스
2023.04.20,목,18:30,잠실야구장,LG,9,NC,4,True,페넌트레이스
2023.04.20,목,18:30,한화생명 이글스 파크,한화,1,두산,5,False,페넌트레이스
2023.04.20,목,18:30,수원 케이티위즈 파크,KT,5,SSG,8,False,페넌트레이스
2023.04.20,목,18:30,고척 스카이돔,키움,6,삼성,1,True,페넌트레이스
2023.04.21,금,18:30,잠실야구장,두산,10,KT,6,False,페넌트레이스
2023.04.21,금,18:30,한화생명 이글스 파크,한화,2,LG,4,False,페넌트레이스
2023.04.21,금,18:30,창원NC파크,NC,2,롯데,3,False,페넌트레이스
2023.04.21,금,18:30,광주-기아 챔피언스필드,KIA,5,삼성,4,True,페넌트레이스
2023.04.21,금,18:30,인천 SSG 랜더스 필드,SSG,3,키움,1,True,페넌트레이스
2023.04.22,토,17:00,잠실야구장,두산,5,KT,1,True,페넌트레이스
2023.04.22,토,17:00,한화생명 이글스 파크,한화,0,LG,3,False,페넌트레이스
2023.04.22,토,17:00,창원NC파크,NC,6,롯데,10,True,페넌트레이스
2023.04.22,토,17:00,광주-기아 챔피언스필드,KIA,6,삼성,2,True,페넌트레이스
2023.04.22,토,17:00,인천 SSG 랜더스 필드,SSG,3,키움,2,True,페넌트레이스
2023.04.23,일,14:00,잠실야구장,두산,1,KT,1,False,페넌트레이스
2023.04.23,일,14:00,한화생명 이글스 파크,한화,7,LG,6,True,페넌트레이스
2023.04.23,일,14:00,창원NC파크,NC,3,롯데,5,False,페넌트레이스
2023.04.23,일,14:00,광주-기아 챔피언스필드,KIA,5,삼성,3,True,페넌트레이스
2023.04.23,일,14:00,인천 SSG 랜더스 필드,SSG,9,키움,7,True,페넌트레이스
2023.04.25,화,18:30,사직야구장,-,롯데  -,경기취소,한화,False,페넌트레이스
2023.04.25,화,18:30,고척 스카이돔,키움,1,KT,0,True,페넌트레이스
2023.04.25,화,18:30,광주-기아 챔피언스필드,KIA,0,NC,6,False,페넌트레이스
2023.04.25,화,18:30,대구 삼성 라이온즈 파크,-,삼성  -,경기취소,두산,True,페넌트레이스
2023.04.25,화,18:30,잠실야구장,LG,5,SSG,4,True,페넌트레이스
2023.04.26,수,18:30,사직야구장,롯데,8,한화,1,True,페넌트레이스
2023.04.26,수,18:30,고척 스카이돔,키움,13,KT,2,False,페넌트레이스
2023.04.26,수,18:30,광주-기아 챔피언스필드,KIA,6,NC,0,True,페넌트레이스
2023.04.26,수,18:30,대구 삼성 라이온즈 파크,삼성,1,두산,0,True,페넌트레이스
