,game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,end_time,home_team_win,match_type,audience
2965,2920,SO06,농구,2024-03-24,일,,0 days 18:00:00,0 days 19:20:00,1,정규시즌,
2966,2921,SO07,농구,2024-03-25,월,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2967,2922,BS03,농구,2024-03-26,화,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2968,2923,DG04,농구,2024-03-26,화,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2969,2924,SU04,농구,2024-03-28,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2970,2925,SO07,농구,2024-03-28,목,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2971,2926,BS03,농구,2024-03-29,금,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2972,2927,US04,농구,2024-03-31,일,,0 days 18:00:00,0 days 19:20:00,1,정규시즌,
2973,2928,BS03,농구,2024-03-31,일,,0 days 18:00:00,0 days 19:20:00,0,정규시즌,
2974,2929,WJ01,농구,2024-03-31,일,,0 days 18:00:00,0 days 19:20:00,1,정규시즌,
2975,2930,GY01,농구,2024-03-31,일,,0 days 18:00:00,0 days 19:20:00,1,정규시즌,
2976,2931,CW02,농구,2024-03-31,일,,0 days 18:00:00,0 days 19:20:00,1,정규시즌,
2977,2932,SO07,농구,2024-04-04,목,,0 days 19:00:00,0 days 20:20:00,0,플레이오프,
2978,2933,SU04,농구,2024-04-05,금,,0 days 19:00:00,0 days 20:20:00,1,플레이오프,
2979,2934,SO07,농구,2024-04-06,토,,0 days 14:00:00,0 days 15:20:00,0,플레이오프,
2980,2935,SU04,농구,2024-04-07,일,,0 days 18:00:00,0 days 19:20:00,0,플레이오프,
2981,2936,BS03,농구,2024-04-08,월,,0 days 19:00:00,0 days 20:20:00,1,플레이오프,
2982,2937,US04,농구,2024-04-09,화,,0 days 19:00:00,0 days 20:20:00,0,플레이오프,
2983,2938,US04,농구,2024-04-11,목,,0 days 19:01:00,0 days 20:21:00,0,플레이오프,
2984,2939,WJ01,농구,2024-04-15,월,,0 days 19:00:00,0 days 20:20:00,0,플레이오프,
2985,2940,CW02,농구,2024-04-16,화,,0 days 19:00:00,0 days 20:20:00,1,플레이오프,
2986,2941,WJ01,농구,2024-04-17,수,,0 days 19:00:00,0 days 20:20:00,1,플레이오프,
2987,2942,CW02,농구,2024-04-18,목,,0 days 19:00:00,0 days 20:20:00,0,플레이오프,
2988,2943,BS03,농구,2024-04-19,금,,0 days 19:00:00,0 days 20:20:00,0,플레이오프,
2989,2944,SU04,농구,2024-04-20,토,,0 days 14:00:00,0 days 15:20:00,0,플레이오프,
2990,2945,BS03,농구,2024-04-21,일,,0 days 18:00:00,0 days 19:20:00,1,플레이오프,
2991,2946,SU04,농구,2024-04-22,월,,0 days 19:00:00,0 days 20:20:00,1,플레이오프,
2992,2947,CW02,농구,2024-04-24,수,,0 days 19:00:00,0 days 20:20:00,0,플레이오프,
2993,2948,SU04,농구,2024-04-27,토,,0 days 14:00:00,0 days 15:20:00,0,챔피언결정전,
2994,2949,SU04,농구,2024-04-29,월,,0 days 19:00:00,0 days 20:20:00,0,챔피언결정전,
2995,2950,BS03,농구,2024-05-01,수,,0 days 19:00:00,0 days 20:20:00,1,챔피언결정전,
2996,2951,BS03,농구,2024-05-03,금,,0 days 19:00:00,0 days 20:20:00,1,챔피언결정전,
2997,2952,SU04,농구,2024-05-05,일,,0 days 18:00:00,0 days 19:20:00,0,챔피언결정전,
2998,2953,BS03,농구,2024-10-19,토,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
2999,2954,WJ01,농구,2024-10-19,토,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
3000,2955,CW02,농구,2024-10-19,토,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
3001,2956,SU04,농구,2024-10-20,일,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
3002,2957,SO07,농구,2024-10-20,일,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
3003,2958,US04,농구,2024-10-20,일,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
3004,2959,CW02,농구,2024-10-21,월,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
3005,2960,SO07,농구,2024-10-22,화,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
