date,region_code,accident_count,game_count,sport_types,has_playoff,temperature,precipitation,weather_condition,is_holiday,weekday
2023-10-28,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-10-29,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-10-30,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-10-31,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-11-01,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-11-02,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-11-03,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-11-04,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-11-05,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-11-06,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-11-07,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-11-08,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-11-09,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-11-10,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-11-11,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-11-12,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-11-13,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-11-14,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-11-15,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-11-16,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-11-17,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-11-18,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-11-19,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-11-20,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-11-21,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-11-22,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-11-23,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-11-24,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-11-25,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-11-26,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-11-27,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-11-28,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-11-29,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-11-30,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-12-01,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-12-02,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-12-03,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-12-04,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-12-05,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-12-06,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-12-07,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-12-08,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-12-09,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-12-10,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-12-11,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-12-12,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-12-13,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-12-14,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-12-15,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-12-16,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-12-17,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-12-18,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-12-19,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-12-20,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-12-21,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-12-22,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-12-23,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-12-24,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-12-25,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-12-26,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-12-27,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-12-28,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-12-29,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-12-30,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-12-31,서울_송파구,0,0,없음,0,,,정보없음,0,일
2024-01-01,서울_송파구,0,0,없음,0,,,정보없음,0,월
2024-01-02,서울_송파구,0,0,없음,0,,,정보없음,0,화
2024-01-03,서울_송파구,0,0,없음,0,,,정보없음,0,수
2024-01-04,서울_송파구,0,0,없음,0,,,정보없음,0,목
2024-01-05,서울_송파구,0,0,없음,0,,,정보없음,0,금
2024-01-06,서울_송파구,0,0,없음,0,,,정보없음,0,토
2024-01-07,서울_송파구,0,0,없음,0,,,정보없음,0,일
2024-01-08,서울_송파구,0,0,없음,0,,,정보없음,0,월
2024-01-09,서울_송파구,0,0,없음,0,,,정보없음,0,화
2024-01-10,서울_송파구,0,0,없음,0,,,정보없음,0,수
2024-01-11,서울_송파구,0,0,없음,0,,,정보없음,0,목
2024-01-12,서울_송파구,0,0,없음,0,,,정보없음,0,금
2024-01-13,서울_송파구,0,0,없음,0,,,정보없음,0,토
2024-01-14,서울_송파구,0,0,없음,0,,,정보없음,0,일
2024-01-15,서울_송파구,0,0,없음,0,,,정보없음,0,월
2024-01-16,서울_송파구,0,0,없음,0,,,정보없음,0,화
2024-01-17,서울_송파구,0,0,없음,0,,,정보없음,0,수
2024-01-18,서울_송파구,0,0,없음,0,,,정보없음,0,목
2024-01-19,서울_송파구,0,0,없음,0,,,정보없음,0,금
2024-01-20,서울_송파구,0,0,없음,0,,,정보없음,0,토
2024-01-21,서울_송파구,0,0,없음,0,,,정보없음,0,일
2024-01-22,서울_송파구,0,0,없음,0,,,정보없음,0,월
2024-01-23,서울_송파구,0,0,없음,0,,,정보없음,0,화
2024-01-24,서울_송파구,0,0,없음,0,,,정보없음,0,수
2024-01-25,서울_송파구,0,0,없음,0,,,정보없음,0,목
