game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,home_team_win,audience,region,accident_count,injury_count,death_count,temperature,precipitation,snow_depth,start_hour,match_시범경기,match_정규시즌,match_포스트시즌
1909,SU03,야구,2024-08-02,토,0,0 days 18:00:00,0,0,경기 수원시,7.0,22.0,0.0,30.7,0.0,0.0,18,False,True,False
1910,SO05,야구,2024-08-02,토,0,0 days 18:00:00,1,0,서울 송파구,7.0,13.0,0.0,31.7,0.0,0.0,18,False,True,False
1911,SO04,야구,2024-08-03,일,1,0 days 14:00:00,1,0,서울 구로구,0.0,0.0,0.0,33.2,0.0,0.0,14,False,True,False
1912,GJ02,야구,2024-08-03,일,1,0 days 18:00:00,0,0,광주 북구,12.0,20.0,0.0,33.9,0.0,0.0,18,False,True,False
1913,DG03,야구,2024-08-03,일,1,0 days 18:00:00,1,0,대구 수성구,4.0,3.0,1.0,36.0,0.0,0.0,18,False,True,False
1914,SU03,야구,2024-08-03,일,1,0 days 18:00:00,0,0,경기 수원시,11.0,14.0,0.0,32.6,0.0,0.0,18,False,True,False
1915,SO05,야구,2024-08-03,일,1,0 days 18:00:00,1,0,서울 송파구,5.0,7.0,0.0,33.4,0.0,0.0,18,False,True,False
1916,BS02,야구,2024-08-05,화,0,0 days 18:30:00,1,0,부산 동래구,1.0,1.0,0.0,28.6,0.0,0.0,18,False,True,False
1917,DJ02,야구,2024-08-05,화,0,0 days 18:30:00,1,0,대전 중구,4.0,4.0,0.0,25.4,0.0,0.0,18,False,True,False
1918,SO05,야구,2024-08-05,화,0,0 days 18:30:00,0,0,서울 송파구,7.0,8.0,0.0,31.6,0.0,0.0,18,False,True,False
1919,IC02,야구,2024-08-05,화,0,0 days 18:30:00,0,0,인천 미추홀구,7.0,10.0,0.0,30.2,0.0,0.0,18,False,True,False
1920,CW01,야구,2024-08-05,화,0,0 days 18:30:00,0,0,경남 창원시,0.0,0.0,0.0,28.7,0.0,0.0,18,False,True,False
1921,BS02,야구,2024-08-06,수,0,0 days 18:30:00,1,0,부산 동래구,2.0,2.0,0.0,28.5,0.0,0.0,18,False,True,False
1922,DJ02,야구,2024-08-06,수,0,0 days 18:30:00,1,0,대전 중구,6.0,6.0,0.0,30.8,0.0,0.0,18,False,True,False
1923,SO05,야구,2024-08-06,수,0,0 days 18:30:00,0,0,서울 송파구,10.0,15.0,0.0,32.6,0.0,0.0,18,False,True,False
1924,IC02,야구,2024-08-06,수,0,0 days 18:30:00,0,0,인천 미추홀구,5.0,7.0,0.0,29.4,0.0,0.0,18,False,True,False
1925,CW01,야구,2024-08-06,수,0,0 days 18:30:00,0,0,경남 창원시,0.0,0.0,0.0,28.9,0.0,0.0,18,False,True,False
1926,BS02,야구,2024-08-07,목,0,0 days 18:30:00,1,0,부산 동래구,2.0,3.0,0.0,30.1,0.0,0.0,18,False,True,False
1927,DJ02,야구,2024-08-07,목,0,0 days 18:30:00,1,0,대전 중구,4.0,4.0,0.0,30.0,0.0,0.0,18,False,True,False
1928,SO05,야구,2024-08-07,목,0,0 days 18:30:00,0,0,서울 송파구,9.0,16.0,0.0,31.2,0.0,0.0,18,False,True,False
1929,IC02,야구,2024-08-07,목,0,0 days 18:30:00,0,0,인천 미추홀구,0.0,0.0,0.0,29.7,0.0,0.0,18,False,True,False
1930,CW01,야구,2024-08-07,목,0,0 days 18:30:00,0,0,경남 창원시,0.0,0.0,0.0,29.9,0.0,0.0,18,False,True,False
1931,SO05,야구,2024-08-08,금,0,0 days 18:30:00,0,0,서울 송파구,10.0,17.0,0.0,30.3,0.0,0.0,18,False,True,False
1932,SO04,야구,2024-08-08,금,0,0 days 18:30:00,1,0,서울 구로구,0.0,0.0,0.0,30.3,0.0,0.0,18,False,True,False
1933,BS02,야구,2024-08-08,금,0,0 days 18:30:00,1,0,부산 동래구,0.0,0.0,0.0,25.8,0.0,0.0,18,False,True,False
1934,SU03,야구,2024-08-08,금,0,0 days 18:30:00,0,0,경기 수원시,11.0,17.0,0.0,28.3,0.0,0.0,18,False,True,False
1935,CW01,야구,2024-08-08,금,0,0 days 18:30:00,1,0,경남 창원시,0.0,0.0,0.0,25.1,15.9,0.0,18,False,True,False
1936,SO05,야구,2024-08-09,토,0,0 days 18:00:00,0,0,서울 송파구,6.0,6.0,0.0,32.2,0.0,0.0,18,False,True,False
1937,SO04,야구,2024-08-09,토,0,0 days 18:00:00,1,0,서울 구로구,0.0,0.0,0.0,32.2,0.0,0.0,18,False,True,False
1938,BS02,야구,2024-08-09,토,0,0 days 18:00:00,1,0,부산 동래구,1.0,1.0,0.0,30.3,0.0,0.0,18,False,True,False
1939,SU03,야구,2024-08-09,토,0,0 days 18:00:00,0,0,경기 수원시,9.0,11.0,0.0,30.9,0.0,0.0,18,False,True,False
